Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
8102,Gen J M Gavin,2600.0,0.59406,14807112.823,Ohio,38.9347,-82.1158,13530310.56,1.0943660721857076,12690.578969478513,OH
56848,Haverhill North Cogeneration Facility,67.0,0.60218,98670.239,Ohio,38.596657,-82.828642,353431.4856,0.2791778407418719,85.64289126407894,OH
2876,Kyger Creek,1086.5,0.4793,5375819.33,Ohio,38.9144,-82.1289,4561852.782000001,1.1784289381743576,4768.172222509351,OH
2832,Miami Fort Power Station,1180.8,0.26891,3154758.214,Ohio,39.1128,-84.8036,2781553.40928,1.1341713603179038,3205.517438707132,OH
57822,"Middletown Coke Company, LLC",67.0,0.56743,92431.689,Ohio,39.472222,-84.401389,333036.0156,0.2775426220298559,83.24281144754721,OH
2936,Painesville,55.5,0.00154,1454.135,Ohio,41.7265,-81.254,748.7171999999999,1.942168551757593,44.2727831909997,OH
2866,W H Sammis,1706.5,0.05995,1188610.779,Ohio,40.5317,-80.6319,896188.953,1.326294834388569,2210.080539563437,OH
6772,Hugo,446.0,0.1626,840606.601,Oklahoma,34.0158,-95.3206,635271.696,1.3232237581067992,971.3472015767268,OK
10671,River Valley,350.0,0.18079,763148.262,Oklahoma,35.1931,-94.6458,554302.14,1.3767730754205638,842.3618350870149,OK
6095,Sooner,1138.0,0.09911,1168960.994,Oklahoma,36.45307,-97.05279,988015.6968,1.183140103731194,1738.351855687414,OK
10143,Colver Green Energy,118.0,0.67944,992985.147,Pennsylvania,40.55108,-78.79794,702323.5392000001,1.4138571350336422,836.4714884753339,PA
3118,Conemaugh,1963.0,0.16628,3093795.32,Pennsylvania,40.3842,-79.0611,2859330.9264,1.0819997403711499,3750.591563526839,PA
10603,Ebensburg Power Company,57.6,0.56507,438093.189,Pennsylvania,40.455,-78.7472,285120.76032,1.5365180301438388,376.87441762116305,PA
10343,Foster Wheeler Mt Carmel Cogen,47.3,0.25032,159093.04,Pennsylvania,40.811189,-76.452951,103719.59135999999,1.5338764635873323,157.34431786366434,PA
10113,Gilberton Power Company,88.4,0.80587,880494.753,Pennsylvania,40.7903,-76.1983,624052.8340800001,1.4109298202259675,728.9094932843325,PA
3122,Homer City,2012.0,0.05757,1268873.707,Pennsylvania,40.512825,-79.196107,1014678.1584000001,1.250518399844961,2498.9550119229148,PA
3136,Keystone,1883.2,0.16752,3063755.968,Pennsylvania,40.6604,-79.3411,2763549.29664,1.1086308363397026,3676.657538767296,PA
50888,Northampton Generating Plant,134.1,0.43322,668269.688,Pennsylvania,40.6917,-75.4792,508910.46551999997,1.3131380336562115,600.2788258723286,PA
50776,Panther Creek Energy Facility,94.0,0.57866,5407.034,Pennsylvania,40.8556,-75.8781,476491.7904,0.011347591100071133,9.731799931855733,PA
50611,"Rausch Creek Generation, LLC",36.0,0.49565,388365.267,Pennsylvania,40.6191,-76.45,156308.18399999998,2.4846124947622705,336.1390088924286,PA
50974,Scrubgrass Generating Plant,94.7,0.34674,496898.681,Pennsylvania,41.2691,-79.8134,287645.79528,1.7274672154213453,455.38842378641783,PA
3130,Seward,585.0,0.39647,2506754.685,Pennsylvania,40.40625,-79.03366,2031750.1619999998,1.2337908134002158,2297.931661803377,PA
54634,St. Nicholas Cogeneration Project,99.2,0.74465,1153287.371,Pennsylvania,40.8222,-76.1736,647094.8928,1.7822538608050036,966.1255460031564,PA
50729,US Steel (Clairton Coke),31.0,0.40274,36.541,Pennsylvania,40.3097,-79.8819,109368.0744,0.00033411029864488496,8.534790596279166,PA
130,Cross,2390.1,0.40355,9377460.915,South Carolina,33.371506,-80.113235,8449237.7298,1.1098588079639664,8632.048873508946,SC
3297,Wateree,771.8,0.25795,1805156.496,South Carolina,33.8264,-80.6228,1743991.6956,1.0350717268633307,1887.2110747377735,SC
3298,Williams,659.7,0.34505,2226789.517,South Carolina,33.0158,-79.9297,1994034.2886000003,1.1167257903891992,2123.1674698060087,SC
6249,Winyah,1260.0,0.23979,3200818.02,South Carolina,33.33184,-79.357236,2646706.104,1.2093590652783714,3325.4993623548285,SC
6098,Big Stone,451.0,0.39654,1752342.376,South Dakota,45.303652,-96.510067,1566634.3704,1.118539468499331,1618.1916643518318,SD
3396,Bull Run,950.0,0.09076,908377.961,Tennessee,36.0211,-84.1567,755304.72,1.2026642187539884,1403.674754905835,TN
3399,Cumberland,2600.0,0.37845,10396005.377,Tennessee,36.3903,-87.6539,8619577.200000001,1.2060922636669464,9637.555690360834,TN
3403,Gallatin,1918.4,0.22316,4632959.899,Tennessee,36.3156,-86.4006,3750244.86144,1.2353753075262024,4898.496329610249,TN
3407,Kingston,1700.0,0.16197,3223860.484,Tennessee,35.8992,-84.5194,2412057.2399999998,1.336560522087776,3720.5904244773046,TN
6178,Coleto Creek,622.4,0.48791,3035929.41,Texas,28.7128,-97.214167,2660194.61184,1.1412433498239862,2687.649375271906,TX
7902,H W Pirkey Power Plant,721.0,0.13802,1023139.659,Texas,32.4607,-94.4852,871728.7992,1.1736903265544882,1306.7096389349726,TX
6193,Harrington Station,1080.0,0.33943,3828745.824,Texas,35.29816,-101.747187,3211279.344,1.1922805255648914,3639.354772280568,TX
7097,J K Spruce,1488.5,0.38943,6185694.81,Texas,29.309722,-98.3203,5077879.0218,1.2181650613265895,5696.17101358642,TX
298,Limestone,1849.8,0.37393,7295465.901,Texas,31.4219,-96.2525,6059254.454639999,1.2040203882531035,6781.349045147215,TX
6146,Martin Lake,2379.6,0.54315,14100303.882,Texas,32.2606,-94.5706,11322122.5224,1.2453763730346117,12232.709051043244,TX
6180,Oak Grove,1795.4,0.76373,13535141.984,Texas,31.1803,-96.4866,12011719.375920001,1.126828021901179,11199.395502086663,TX
6179,Sam Seymour,1690.0,0.51642,9314911.037,Texas,29.9172,-96.7506,7645288.248,1.2183858521536808,8149.241344459028,TX
6183,San Miguel,410.0,0.38537,1987249.502,Texas,28.7044,-98.4775,1384094.892,1.4357754757178889,1812.218626283205,TX
56611,Sandy Creek Energy Station,1008.0,0.37318,3806714.023,Texas,31.474378,-96.957149,3295209.2544,1.1552267941457746,3552.6738068238215,TX
6194,Tolk Station,1135.8,0.27213,3126337.82,Texas,34.186494,-102.56999,2707586.8250399996,1.1546583810673603,3156.9018771962915,TX
7030,Twin Oaks,349.2,0.75823,2952485.586,Texas,31.091925,-96.69503,2319419.50416,1.2729416048733586,2452.8701714786466,TX
3470,W A Parish,4008.4,0.30596,11003733.403,Texas,29.4828,-95.6311,10743352.160640001,1.0242364988568418,10946.63613820014,TX
6139,Welsh Power Plant,1116.0,0.36613,4405532.218,Texas,33.05522,-94.839993,3579345.4608,1.2308206252367,4105.6196574290625,TX
7790,Bonanza,512.0,0.70477,3891811.415,Utah,40.0864,-109.2844,3160978.0224,1.2312048319921909,3258.6580416970373,UT
6165,Hunter,1472.2,0.2787,4948983.027,Utah,39.1747,-111.0289,3594246.7464,1.3769179959491942,4842.779190130288,UT
8069,Huntington,1015.5,0.3823,4087237.098,Utah,39.3792,-111.0781,3400856.6939999997,1.201825735618603,3782.124173662437,UT
6481,Intermountain,1640.0,0.30967,4862988.351,Utah,39.509731,-112.58018,4448843.0879999995,1.0930905529388273,4778.198771944839,UT
50951,Sunnyside Cogeneration Associates,58.1,0.62187,3060.814,Utah,39.5472,-110.3917,316504.46772,0.009670681813906623,2.640190687728335,UT
7213,Clover Power Station,848.0,0.03338,309351.421,Virginia,36.869,-78.704,247962.6624,1.2475725901868682,887.0405406247048,VA
56808,Virginia City Hybrid Energy Center,668.0,0.12874,811602.402,Virginia,36.916389,-82.338055,753345.2832,1.0773312319054287,1102.4030180209556,VA
3845,Centralia,729.9,0.64802,4999334.617,Washington,46.755938,-122.859764,4143390.6304800003,1.206580567186551,4230.3052418949965,WA
8023,Columbia,1112.0,0.43235,5103792.907,Wisconsin,43.4864,-89.4203,4211573.232,1.2118494980025079,4606.483267599656,WI
